date,total_sales,day_of_week,month_name,day,year
2017-04-14,2698.65,Friday,April,14,2017
2017-04-15,3243.6,Saturday,April,15,2017
2017-04-16,2005.2,Sunday,April,16,2017
2017-04-17,704.35,Monday,April,17,2017
2017-04-18,351.5,Tuesday,April,18,2017
2017-04-19,672.5,Wednesday,April,19,2017
2017-04-20,413.75,Thursday,April,20,2017
2017-04-21,2434.9,Friday,April,21,2017
2017-04-22,6562.15,Saturday,April,22,2017
2017-04-23,3474.9,Sunday,April,23,2017
2017-04-24,352.0,Monday,April,24,2017
2017-04-25,538.6,Tuesday,April,25,2017
2017-04-26,808.5,Wednesday,April,26,2017
2017-04-27,1121.9,Thursday,April,27,2017
2017-04-28,2672.0,Friday,April,28,2017
2017-04-29,5934.15,Saturday,April,29,2017
