date,day_type,holiday_type,holiday_name
2017-10-27,laborable,,
2017-10-28,sábado,,
2017-10-29,domingo,,
2017-10-30,laborable,,
2017-10-31,laborable,,
2017-11-01,festivo,Festivo nacional,Todos los Santos
2017-11-02,laborable,,
2017-11-03,laborable,,
2017-11-04,sábado,,
2017-11-05,domingo,,
2017-11-06,laborable,,
2017-11-07,laborable,,
2017-11-08,laborable,,
2017-11-09,festivo,Festivo local de la ciudad de Madrid,Ntra. Sra. de la Almudena. Patrona de la ciudad
2017-11-10,laborable,,
2017-11-11,sábado,,
2017-11-12,domingo,,
2017-11-13,laborable,,
2017-11-14,laborable,,
2017-11-15,laborable,,
2017-11-16,laborable,,
2017-11-17,laborable,,
2017-11-18,sábado,,
2017-11-19,domingo,,
2017-11-20,laborable,,
2017-11-21,laborable,,
2017-11-22,laborable,,
2017-11-23,laborable,,
2017-11-24,laborable,,
2017-11-25,sábado,,
2017-11-26,domingo,,
2017-11-27,laborable,,
2017-11-28,laborable,,
2017-11-29,laborable,,
2017-11-30,laborable,,
2017-12-01,laborable,,
2017-12-02,sábado,,
2017-12-03,domingo,,
2017-12-04,laborable,,
2017-12-05,laborable,,
2017-12-06,festivo,Festivo nacional,Día de la Constitución
2017-12-07,laborable,,
2017-12-08,festivo,Festivo nacional,Inmaculada Concepción
2017-12-09,sábado,,
2017-12-10,domingo,,
2017-12-11,laborable,,
2017-12-12,laborable,,
2017-12-13,laborable,,
2017-12-14,laborable,,
2017-12-15,laborable,,
2017-12-16,sábado,,
2017-12-17,domingo,,
2017-12-18,laborable,,
2017-12-19,laborable,,
2017-12-20,laborable,,
2017-12-21,laborable,,
2017-12-22,laborable,,
2017-12-23,sábado,,
2017-12-24,domingo,,
2017-12-25,festivo,Festivo nacional,Natividad del Señor
2017-12-26,laborable,,
2017-12-27,laborable,,
2017-12-28,laborable,,
2017-12-29,laborable,,
2017-12-30,sábado,,
2017-12-31,domingo,,
2018-01-01,festivo,Festivo nacional,Año Nuevo
2018-01-02,laborable,,
2018-01-03,laborable,,
2018-01-04,laborable,,
2018-01-05,laborable,,
2018-01-06,festivo,Festivo nacional,Epifania del Señor
2018-01-07,domingo,,
2018-01-08,laborable,,
2018-01-09,laborable,,
2018-01-10,laborable,,
2018-01-11,laborable,,
2018-01-12,laborable,,
2018-01-13,sábado,,
2018-01-14,domingo,,
2018-01-15,laborable,,
2018-01-16,laborable,,
2018-01-17,laborable,,
2018-01-18,laborable,,
2018-01-19,laborable,,
2018-01-20,sábado,,
2018-01-21,domingo,,
2018-01-22,laborable,,
2018-01-23,laborable,,
2018-01-24,laborable,,
2018-01-25,laborable,,
2018-01-26,laborable,,
2018-01-27,sábado,,
2018-01-28,domingo,,
2018-01-29,laborable,,
2018-01-30,laborable,,
2018-01-31,laborable,,
2018-02-01,laborable,,
2018-02-02,laborable,,
2018-02-03,sábado,,
2018-02-04,domingo,,
2018-02-05,laborable,,
2018-02-06,laborable,,
2018-02-07,laborable,,
2018-02-08,laborable,,
2018-02-09,laborable,,
2018-02-10,sábado,,
2018-02-11,domingo,,
2018-02-12,laborable,,
2018-02-13,laborable,,
2018-02-14,laborable,,
2018-02-15,laborable,,
2018-02-16,laborable,,
2018-02-17,sábado,,
2018-02-18,domingo,,
2018-02-19,laborable,,
2018-02-20,laborable,,
2018-02-21,laborable,,
2018-02-22,laborable,,
2018-02-23,laborable,,
2018-02-24,sábado,,
2018-02-25,domingo,,
2018-02-26,laborable,,
2018-02-27,laborable,,
2018-02-28,laborable,,
2018-03-01,laborable,,
2018-03-02,laborable,,
2018-03-03,sábado,,
2018-03-04,domingo,,
2018-03-05,laborable,,
2018-03-06,laborable,,
2018-03-07,laborable,,
2018-03-08,laborable,,
2018-03-09,laborable,,
2018-03-10,sábado,,
2018-03-11,domingo,,
2018-03-12,laborable,,
2018-03-13,laborable,,
2018-03-14,laborable,,
2018-03-15,laborable,,
2018-03-16,laborable,,
2018-03-17,sábado,,
2018-03-18,domingo,,
2018-03-19,laborable,,
2018-03-20,laborable,,
2018-03-21,laborable,,
2018-03-22,laborable,,
2018-03-23,laborable,,
2018-03-24,sábado,,
2018-03-25,domingo,,
2018-03-26,laborable,,
2018-03-27,laborable,,
2018-03-28,laborable,,
2018-03-29,festivo,Festivo de la comunidad de Madrid,Jueves Santo
2018-03-30,festivo,Festivo nacional,Viernes Santo
2018-03-31,sábado,,
2018-04-01,domingo,,
2018-04-02,laborable,,
2018-04-03,laborable,,
2018-04-04,laborable,,
2018-04-05,laborable,,
2018-04-06,laborable,,
2018-04-07,sábado,,
2018-04-08,domingo,,
2018-04-09,laborable,,
2018-04-10,laborable,,
2018-04-11,laborable,,
2018-04-12,laborable,,
2018-04-13,laborable,,
2018-04-14,sábado,,
2018-04-15,domingo,,
2018-04-16,laborable,,
2018-04-17,laborable,,
2018-04-18,laborable,,
2018-04-19,laborable,,
2018-04-20,laborable,,
2018-04-21,sábado,,
2018-04-22,domingo,,
2018-04-23,laborable,,
2018-04-24,laborable,,
2018-04-25,laborable,,
2018-04-26,laborable,,
2018-04-27,laborable,,
2018-04-28,sábado,,
2018-04-29,domingo,,
2018-04-30,laborable,,
2018-05-01,festivo,Festivo nacional,Fiesta del Trabajo
2018-05-02,festivo,Festivo de la Comunidad de Madrid,Dos de Mayo. Fiesta de la Comunidad de Madrid
2018-05-03,laborable,,
2018-05-04,laborable,,
2018-05-05,sábado,,
2018-05-06,domingo,,
2018-05-07,laborable,,
2018-05-08,laborable,,
2018-05-09,laborable,,
2018-05-10,laborable,,
2018-05-11,laborable,,
2018-05-12,sábado,,
2018-05-13,domingo,,
2018-05-14,laborable,,
2018-05-15,festivo,Festivo local de la ciudad de Madrid,San Isidro Labrador
2018-05-16,laborable,,
2018-05-17,laborable,,
2018-05-18,laborable,,
2018-05-19,sábado,,
2018-05-20,domingo,,
2018-05-21,laborable,,
2018-05-22,laborable,,
2018-05-23,laborable,,
2018-05-24,laborable,,
2018-05-25,laborable,,
2018-05-26,sábado,,
2018-05-27,domingo,,
2018-05-28,laborable,,
2018-05-29,laborable,,
2018-05-30,laborable,,
2018-05-31,laborable,,
2018-06-01,laborable,,
2018-06-02,sábado,,
2018-06-03,domingo,,
2018-06-04,laborable,,
2018-06-05,laborable,,
2018-06-06,laborable,,
2018-06-07,laborable,,
2018-06-08,laborable,,
2018-06-09,sábado,,
2018-06-10,domingo,,
2018-06-11,laborable,,
2018-06-12,laborable,,
2018-06-13,laborable,,
2018-06-14,laborable,,
2018-06-15,laborable,,
